[2021-10-30 15:21:40] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1312798464]
[2021-10-30 15:21:40] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1304405760]
[2021-10-30 15:25:34] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:25:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:25:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-644905216]
[2021-10-30 15:25:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-653297920]
[2021-10-30 15:26:55] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:26:56] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:26:56] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1600182528]
[2021-10-30 15:26:56] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1946159360]
[2021-10-30 15:38:49] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:38:50] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:38:50] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1811937024]
[2021-10-30 15:38:50] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1803544320]
[2021-10-30 15:40:15] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:40:17] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:40:17] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1325389568]
[2021-10-30 15:40:17] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1316996864]
[2021-10-30 15:42:30] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:42:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:42:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1006630656]
[2021-10-30 15:42:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[998237952]
[2021-10-30 15:44:14] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:44:16] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:44:16] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1610610432]
[2021-10-30 15:44:16] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1602217728]
[2021-10-30 15:44:43] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:44:44] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:44:44] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1589676288]
[2021-10-30 15:44:44] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1598068992]
[2021-10-30 16:12:35] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:12:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:12:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[301971200]
[2021-10-30 16:12:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[293578496]
[2021-10-30 16:12:50] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 16:12:51] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 16:12:51] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1163822848]
[2021-10-30 16:12:51] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1155430144]
